Source,RA_ICRS,DE_ICRS,BPmag,RPmag,Gmag,GMAG,Teff,Rad,Lum-Flame,Plx,Dist,bp_rp,spectral_class,cluster_silhouette,cluster_k7
4661511079359080448,74.41357890675,-68.45097867585,15.93735,15.80236,15.936283,-2.0734,24374.365,3.8563,,-0.0162,25518.414,0.1349900000000001,O,0,1
172938717896132992,67.52642119001,33.78533775215,15.565416,13.5483,14.544009,-0.6196,5803.258000000001,11.573,55.239872,0.3158,3819.1494,2.017116000000001,K,1,4
128095067436828032,38.39311927218,28.32754401513,12.969834,12.030478,12.585037,4.5797,5943.5635,0.9692,1.1151571000000002,2.8847,334.8122,0.939356,G,2,0
2061286678035476608,304.90195601934,38.58832961232,16.355179,14.336026,15.47666,0.3384,7660.806,4.6,72.13498,0.3563,2397.8264,2.0191529999999998,M,1,6
122126987041182464,47.79619283226,29.4488055386,12.45503,11.529504,12.078733,5.0562,5571.4023,0.9086,0.69716346,4.1965,233.9813,0.9255260000000014,G,2,0
4306487158524546432,288.39248060892004,7.85107296028,16.109463,13.277663,14.507343,-2.3004,15015.603,6.5401,1932.7932,0.2206,1731.9492,2.831800000000001,O,4,4
65452625830025856,59.95201518048,22.90912840126,14.001254,12.58486,13.359294,0.821,5040.849,8.0864,32.876059999999995,0.4217,2273.4187,1.4163939999999986,K,1,6
206062502119993728,72.54147563198,43.78784935045999,14.773484,13.624899,14.280434,3.8301,5598.696999999999,1.5734,2.1532047000000003,1.0053,944.4909,1.1485850000000006,G,2,0
1834571954527435904,299.58164131979,25.31233252955,17.855785,16.144934,17.126997,0.8353,9704.05,2.3749,44.290348,0.2586,4223.8765,1.7108510000000017,B,1,6
9891245258402560,51.60466871821,6.97941087265,13.917971,12.54538,13.438869,3.9183,6106.178000000001,1.2788,2.0303166,2.0914,455.6329,1.372591,F,2,0
352623961828353024,31.85015235811,44.83979804025,14.206846,13.654975,14.001848999999998,2.4146,7230.523,1.8145,10.565715,0.4569,1813.0867,0.5518710000000002,A,2,5
148491935845532928,70.45671429207,26.26765425736,15.172987,13.121004,14.129701999999998,-0.568,5871.944,11.0767,191.87366,0.2264,2938.9106,2.051983,K,1,4
1821822636182974848,301.21642917233,17.83276586349,14.702237,12.106078,13.268785,-1.0199,3799.521,50.9534,608.99854,0.128,4423.465999999999,2.596159,M,4,4
1827372691682831744,297.0587533996,21.18764764057,13.060876,12.156711,12.695072,1.8834,7586.3022,2.0874,12.23955,1.1965,868.5758,0.9041650000000008,A,2,5
2174535177406628864,324.42070416817995,54.40940259732,15.109601,10.480328,11.964554,-6.3965,3502.6646,794.9680000000001,1462.7104,0.4947,12612.162,4.629273,M,4,2
192341352916635264,87.23189731899001,41.82778782282,14.017791,12.993969,13.590328,4.8324,5386.188,1.088,1.0351286,1.833,503.9897,1.023822000000001,G,2,0
